slazID	Line	restW	redCurve	ID
1	     [O II]     	3726.03	0.315	3726
1	     [O II] B    	3727.53	0.315	3728
1	     [O II]     	3728.82	0.315	3729
2	     H 10        	3797.9	0.29	3798
3	     H 9         	3835.55	0.28	3836
4	     [Ne III]    	3868.74	0.27	3869
5	     He I+H 8    	3888.65	0.265	3889
6	     K (Abs)     	3933.66	0.0	3934
7	     H (Abs)     	3968.49	0.0	3968
8	     [Ne III]    	3969.56	0.235	3970
9	     He I        	4026.0	0.225	4026
10	     [S II] B    	4072.5	0.21	4072
11	     H Delta     	4101.74	0.2	4102
12	     G Band (A)  	4303.61	0.0	4304
13	     H Gamma     	4340.47	0.135	4340
14	     [O III]     	4363.21	0.13	4363
15	     He I        	4471.5	0.105	4472
16	     He II       	4686.68	0.045	4687
17	     H Beta      	4861.33	0.0	4861
18	     He I        	4921.93	-0.01	4922
19	     [O III]     	4958.91	-0.02	4959
20	     [O III]     	5006.84	-0.03	5007
21	     Mg b (A)    	5175.36	0.0	5175
22	     [N I]       	5199.2	-0.075	5199
23	     Mg H (A)    	5268.98	0.0	5269
24	     He I        	5875.62	-0.21	5876
25	     Na D (A)    	5892.5	0.0	5892
26	     [O I]       	6300.23	-0.285	6300
27	     [S III]     	6312.1	-0.29	6312
28	     [O I]       	6363.88	-0.3	6364
29	     [N II]      	6548.06	-0.33	6548
30	     H Alpha     	6562.82	-0.335	6563
31	     [N II]      	6583.50	-0.34	6584
32	     He I        	6678.15	-0.36	6678
33	     [S II]      	6717.0	-0.37	6717
34	     [S II] B    	6724.15	-0.37	6724
35	     [S II]      	6731.3	-0.37	6731
36	     He I        	7065.26	-0.4	7065
37	     [Ar III]    	7135.8	-0.41	7136
38	     [O II]      	7319.0	-0.435	7319
39	     [O II] B    	7324.65	-0.435	7325
40	     [O II]      	7330.3	-0.435	7330
41	     [Ne V]   	3425.87	0.39	3426
42	     [Ne V]     	3345.83	0.42	3346
43	     Mg II     	2797.92	0.71	2798
44	     C III]     	1908.1	1.32	1908
45	     C IV     	1548.92	1.35	1549
46	     Ly Alpha    	1215.15	1.93	1215
47	     [Ar IV]     	4711.26	0.039	4711
48	     [Ar IV]     	4740.12	0.031	4740
49	     [N II]      	5754.59	-0.186	5755
50	     [S III]     	9068.6	-0.674	9069
51	     [S III]     	9531.1	-0.699	9531
